Region,ПКОрг,ГлобИС,ИнтОрг,ОргWS,ПКРаб,ЭДО,ПКДХ,ИнтДХ,ШПДДХ
Belgorod,0.7315839062928536,0.7918384525317668,0.7959484590211758,0.8369454199514996,-0.8605492701952518,0.8429859207750342,0.3503534407718722,-0.06969099231107788,0.44249086380778857
Bryansk,0.7315839062928536,0.8068721994888404,0.8108022991758714,-0.13382135362877207,-1.0314089315899508,0.364825407359184,-0.8426414719868145,-1.2782296505152613,-0.47522651418117157
Vladimir,-0.08762356317191562,0.16042108033463612,0.1869410126786198,0.46829980973114355,-0.5188299474058542,-0.05203247613155732,-0.14903977852246245,-0.48404710369536785,-0.3146259730331045
Voronezh,1.2606553969888499,1.2127833673298531,1.226709823507372,0.6526226148413216,0.33546835956764004,1.075935914490447,0.7942585245890559,0.44825414691928644,0.6030914049558557
Ivanovo,0.8169180176954338,0.8219059464459162,0.7216792582476935,0.5051643707531788,0.5063280209623389,0.9533306546402293,-0.44035248977748953,-1.4336131922843691,-0.6817129242286873
Kaluga,0.6462497948902735,0.671568476875171,0.7216792582476935,0.3454179396576915,0.33546835956764004,0.32804382940411897,0.4197136101183074,-0.08695583028542238,-0.1654968991098972
Koatroma,0.20251241559685507,0.010083610763890827,-0.3775049131998452,-0.527043337863818,0.1646086981729412,0.02153067977857442,-0.45422452364677773,-0.8984032150796603,-0.03931075963641583
Kursk,-0.08762356317191562,-0.5912662675190903,-0.5557509950562031,-0.404161467790366,-0.5188299474058542,0.11961488765874834,-0.13516774465317424,-0.34592839990060453,0.31630472433430556
Lipetsk,0.4755815720851131,0.5663322481756489,0.6177023771648179,-0.09695679260673593,-0.8605492701952518,1.4805332719961655,-0.412608422038915,-1.0192570809000792,-0.11961103021045018
Moscow (reg.),-0.15589085229398075,0.10028609250633928,0.06811029144104855,0.8246572329441542,-0.5188299474058542,-0.10107458007164341,1.9317653018705936,1.604998291200434,1.1651932989740945
Orel,0.3902474606825329,0.3708935377336804,0.3948947748443711,-0.4533142158197466,-0.00625096322175766,1.1862806483556438,-0.5513287607317855,-1.0019922429257322,-0.7161273259032747
Ryazan,0.5438488612071758,0.5212310073044256,0.5879946968554246,-0.03551585757000992,-0.00625096322175766,0.5732543491045546,-0.42648045590820327,-1.0883164327974595,-0.7390702603529982
Smolensk,0.7486507285733688,0.9872771629737351,0.7959484590211758,0.8615217939661894,-0.8605492701952518,0.8675069727450764,-0.27388808334604464,-0.7257548353362056,-0.08519662853586449
Tambov,0.8169180176954338,0.882040934274213,0.825656139330567,2.2132223647741625,-0.34797028601115537,0.033791205763595504,0.33648140690258393,0.12022222540672384,0.4998481999320986
Tver,-0.4972272979043015,-0.7115362431756861,-0.6300201958296854,-0.41644965479771134,-0.17711062461645652,-1.069656132888365,-0.0935516430453135,-0.5531064555927507,-0.5555267847552059
Tula,-0.5142941201848166,-0.27555758142052394,-0.19925883134348726,0.16109513454751348,-0.6896896088005531,-0.2604614178769262,1.4601161503148354,1.0870531519700697,1.153721831749233
Yaroslavl,0.407314282963048,0.611433489046872,0.6474100574742113,1.0089800380543321,0.5063280209623389,0.5977754010745986,-0.9120016413332497,-1.623526410002171,-0.7734846620275838
Moscow (city),1.2947890415498824,1.393188330814748,1.4643712659825165,2.4466979179137205,5.290398540013906,0.4261280372842929,1.6959407260927135,1.1906421798161415,0.8898780855774057
Kareliya,0.5438488612071758,0.5663322481756489,0.6325562173195135,0.8000808589294635,1.360626327935833,0.5977754010745986,0.6694102197654738,0.4309893089449419,0.4998481999320986
Komi,0.08304465963324476,0.1754548272917119,-0.1398434707247027,-0.37958509377567606,-0.34797028601115537,-0.5179324635623848,0.5168178472033151,0.36192995704755904,0.6030914049558557
Arkhangelsk,0.10011148191375982,0.20552232120585928,0.09781797175044189,-0.41644965479771134,-0.17711062461645652,0.0705727837186605,0.05904072951684315,-0.5876361315414422,-0.3834547763822759
Vologda,0.8169180176954338,0.7467372116605436,0.7365330984023891,0.38228250067972674,0.5063280209623389,0.5732543491045546,-0.17678384626103694,-0.8293438631822774,-0.3490403747076902
Kaliningrad,0.3390469938409853,0.5362647542614993,0.6325562173195135,0.23482425659158399,1.0189070051464355,0.16865699159883615,0.7942585245890559,0.46551898489363336,0.6604487410801657
